product_id,product_name,category,price_per_kg,units_shipped_kg,units_sold_kg,units_on_hand_kg,supplier,farm_location,sale_date
be996df6-1780-4352-8b7d-1f927279aa49,Oranges,Fruits,2.59,1838,1722,116,ITC Agri Business,"Kolkata, West Bengal",2023-12-24
0bd5bf2b-be0a-4ba0-aa92-059021b169e3,Bananas,Fruits,1.78,48729,47020,1709,Amul (GCMMF),"Bengaluru, Karnataka",2023-06-20
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.92,22600,11477,11123,Nuziveedu Seeds,"Jaipur, Rajasthan",2023-01-22
1c48eb53-85bc-4b76-92ef-97d240a8a227,Potatoes,Vegetables,0.86,14543,5208,9335,Parag Foods,"Chennai, Tamil Nadu",2023-09-06
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,0.99,23374,7546,15828,Parag Foods,"Coimbatore, Tamil Nadu",2023-12-12
8dc0c292-d59b-4692-bcc4-2003c0177ea7,Peppers,Vegetables,2.26,30469,19448,11021,Godrej Agrovet,"Lucknow, Uttar Pradesh",2023-01-10
5feb3ab1-f866-4401-b84a-d4d4d6168c8f,Apples,Fruits,2.74,4160,1553,2607,ITC Agri Business,"Kolkata, West Bengal",2022-06-21
dd7f2ac0-a03a-487d-bf43-96d8415c3a60,Rye,Grains,1.0,45191,16574,28617,ITC Agri Business,"Anand, Gujarat",2023-09-26
10a2bd80-7c0e-4d7c-b26a-5dc5dbe2b4cf,Blueberries,Fruits,4.84,23658,14713,8945,IFFCO,"Lucknow, Uttar Pradesh",2023-06-02
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.79,26667,21168,5499,Amul (GCMMF),"Coimbatore, Tamil Nadu",2022-05-09
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.64,18652,1094,17558,Amul (GCMMF),"Chennai, Tamil Nadu",2023-08-30
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.57,3903,3549,354,ITC Agri Business,"Hyderabad, Telangana",2022-10-07
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,4.78,47471,6197,41274,Parag Foods,"Bengaluru, Karnataka",2022-02-05
3b5d009c-ae38-4a53-9c94-f1853d67f882,Grapes,Fruits,3.76,29897,14133,15764,Parag Foods,"Coimbatore, Tamil Nadu",2022-09-01
8a279b7d-f76f-44c1-8df6-e7db17a391d6,Wheat,Grains,0.42,19030,14222,4808,Amul (GCMMF),"Bengaluru, Karnataka",2022-02-27
921530a1-c4d1-4e94-b8ad-11f6fbcc4fca,Rice,Grains,1.19,1375,463,912,Parag Foods,"Bengaluru, Karnataka",2023-04-25
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.79,25816,18541,7275,IFFCO,"Anand, Gujarat",2023-11-11
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.62,22113,16837,5276,Parag Foods,"Bengaluru, Karnataka",2023-01-21
c81f400e-c19f-417f-99fb-039a19506e85,Onions,Vegetables,0.88,19891,7328,12563,DeHaat,"Hyderabad, Telangana",2023-11-22
c0e9f888-f1d2-4b5b-a6e9-3c349f68aed0,Barley,Grains,0.64,7141,5543,1598,Nuziveedu Seeds,"Chennai, Tamil Nadu",2022-06-01
8e1653f9-1b33-405a-b4d8-2cb0af5a59eb,Tomatoes,Vegetables,2.22,11295,6816,4479,Amul (GCMMF),"Jaipur, Rajasthan",2023-07-31
f0fa3446-1398-417a-bda7-de131121a15b,Oats,Grains,0.69,31962,18205,13757,Godrej Agrovet,"Nashik, Maharashtra",2023-08-19
28f45387-03b8-48f9-b67c-d921d29f60b6,Corn,Grains,0.61,20024,18321,1703,IFFCO,"Hyderabad, Telangana",2023-08-26
